row_index,source_kind,source_label,source_index,rom_offset,decoded_text
0,"canonical_name","character-name-table",1,0x001E068C,"Mae"
1,"text_surface","rotdd",42,0x00177840,"Ken: My name is Ken.  <NEWLINE>I'm a knight.  <NEWLINE>I'm still in training, though.  <PAGE_BREAK>I...<02>I really think you're  <NEWLINE>the greatest, <PLAYER_NAME>!  <05><NEWLINE>...But, don't tell Mae, OK?  <SPEAKER_BREAK>"
2,"text_surface","rotdd",91,0x00178B20,"Mae:  <NEWLINE>...Father!  <SPEAKER_BREAK>"
3,"text_surface","rotdd",93,0x00178B93,"Mae: I am Mae, daughter  <NEWLINE>of Varios, captain  <NEWLINE>of the knights!  <PAGE_BREAK>In the name of the Knights  <NEWLINE>of Guardiana, I challenge you  <NEWLINE>to a duel! En garde!  <SPEAKER_BREAK>"
4,"text_surface","rotdd",97,0x00178D9D,"Mae:  <NEWLINE><PLAYER_NAME>, come quickly!  <NEWLINE>The King is wounded!  <SPEAKER_BREAK>"
5,"text_surface","rotdd",98,0x00178DCF,"King of Guardiana:  <NEWLINE>Ah, it's you, <PLAYER_NAME>...  <05><NEWLINE>and Mae as well...  <PAGE_BREAK>Varios tried to protect me,  <NEWLINE>but it was already too late...  <PAGE_BREAK>Listen to me, young warriors.  <05><NEWLINE>Even I do not know... <02>what  <NEWLINE>the Legacy of the Gods is...  <PAGE_BREAK>But, I know that if it  <NEWLINE>should fall into evil hands...  <05><NEWLINE>Rune will be no more!  <PAGE_BREAK>The ancient castle wherein it  <NEWLINE>sleeps was sealed by the  <NEWLINE>gods... <02>But...  <PAGE_BREAK>There exists a secret  <NEWLINE>that can break the seal...  <PAGE_BREAK>You must find that secret  <NEWLINE>before Runefaust does...  <05><NEWLINE>and protect it!  <PAGE_BREAK>Do not fail me, <PLAYER_NAME>!  <NEWLINE>You are Guardiana's  <NEWLINE>last hope....  <SPEAKER_BREAK>"
6,"text_surface","rotdd",100,0x001790C3,"King of Guardiana:  <NEWLINE>Mae, daughter of Varios...  <NEWLINE>Hear my words...  <PAGE_BREAK>Help <PLAYER_NAME> in any way  <NEWLINE>you can...<02>and become a great  <NEWLINE>warrior like your father.  <SPEAKER_BREAK>"
7,"text_surface","rotdd",101,0x00179159,"Mae:  <NEWLINE>Your Majesty...  <SPEAKER_BREAK>"
8,"text_surface","rotdd",103,0x001791E6,"Mae: N-No...  <NEWLINE>Father... <02>and the King...  <05><NEWLINE>How could this happen!?  <PAGE_BREAK><PLAYER_NAME>!  <NEWLINE>I've made up my mind!  <PAGE_BREAK>We must solve the riddle of  <NEWLINE>the legacy before Runefaust  <NEWLINE>and then protect the secret!  <PAGE_BREAK>...<PLAYER_NAME>,  <NEWLINE>up until now, I've been  <NEWLINE>quite cold towards you.  <PAGE_BREAK>I'm sorry.  <NEWLINE>Can you still accept me  <NEWLINE>as a comrade?  <SPEAKER_BREAK>"
9,"text_surface","rotdd",105,0x00179363,"Mae: Thanks. I'll be waiting  <NEWLINE>for you at headquarters.  <05><NEWLINE>Here's what I've heard:  <PAGE_BREAK>Runefaust's army is headed for  <NEWLINE>Alterone to look for  <NEWLINE>clues about the legacy.  <PAGE_BREAK>As soon as you're ready, we  <NEWLINE>should set out for Alterone.  <SPEAKER_BREAK>"
10,"text_surface","rotdd",304,0x0017EA51,"Mae: Your Highness!<NEWLINE>Wait! <02>...There's<NEWLINE>a strange presence!<SPEAKER_BREAK>"
11,"text_surface","rotdd",305,0x0017EA9D,"Mae:<NEWLINE>Begone, witch!<SPEAKER_BREAK>"
12,"text_surface","rotdd",307,0x0017EB91,"<PLAYER_NAME>:<NEWLINE>Mae! It's too dangerous here!<NEWLINE>Take Princess Anri and run!<SPEAKER_BREAK>"
13,"text_surface","rotdd",308,0x0017EBCF,"Mae: OK!<05><NEWLINE>Come on, Princess, this way!<SPEAKER_BREAK>"
14,"text_surface","rotdd",311,0x0017ECE7,"Mae:<NEWLINE><PLAYER_NAME>! It's too dangerous!<NEWLINE>You have to come back!<SPEAKER_BREAK>"
15,"text_surface","rotdd",622,0x00185F13,"Mae: Princess Narsha...<SPEAKER_BREAK>"
16,"text_surface","rotdd",623,0x00185F2C,"Narsha: Mae...<SPEAKER_BREAK>"
17,"text_surface","rotdd",624,0x00185F3C,"Mae: My father was killed<NEWLINE>by the men of Runefaust.<SPEAKER_BREAK>"
18,"text_surface","rotdd",626,0x00185FB3,"Mae: No!<NEWLINE>I didn't bring it up because<NEWLINE>I wanted you to apologize...<PAGE_BREAK>I just wanted you to know<NEWLINE>that losing a father...<05><NEWLINE>brings sorrow...<PAGE_BREAK>and regret...<SPEAKER_BREAK>"
19,"text_surface","rotdd",627,0x00186056,"Mae: So, we shan't ask<NEWLINE>the impossible. It's true that<NEWLINE>we need you...<PAGE_BREAK>But, all we can ask is that<NEWLINE>you do the best you can.<05><NEWLINE>Just be true to yourself.<SPEAKER_BREAK>"
20,"text_surface","rotdd",628,0x001860EC,"Narsha: Thank you...<05><NEWLINE>Thank you, Mae.<SPEAKER_BREAK>"
21,"text_surface","rotdd",657,0x00186B97,"Mae: <PLAYER_NAME>!<NEWLINE>Next time you pull a stunt<NEWLINE>like that, I'll make you pay!<SPEAKER_BREAK>"
22,"text_surface","rotdd",736,0x00188A54,"Mae:  <NEWLINE>You... <02>You killed Varios!  <SPEAKER_BREAK>"
23,"text_surface","rotdd",929,0x0018D6CD,"Mae: I'll take it from here. <05><NEWLINE>Keep calm, everyone! <PAGE_BREAK>We have to break through <NEWLINE>or we'll never get the sword <NEWLINE>needed to seal Dark Dragon! <SPEAKER_BREAK>"
24,"text_surface","rotdd",948,0x0018E315,"Mae: Hey, what's going on? <05><NEWLINE>Why is everyone so calm?<SPEAKER_BREAK>"
25,"text_surface","rotdd",950,0x0018E42F,"Mae: Well, it's pointless just<NEWLINE>sitting here. <PLAYER_NAME>,<NEWLINE>let's have a look around town.<SPEAKER_BREAK>"
26,"text_surface","rotdd",1024,0x001905E1,"Mae: Darksol! I will avenge <NEWLINE>my father Varios! <SPEAKER_BREAK>"
27,"text_surface","rotdd",1038,0x00190D8F,"Mae: This is the final battle! <NEWLINE>We can do this, everyone! <SPEAKER_BREAK>"
28,"text_surface","rotdd",1233,0x00195EFF,"Mae: ......<05><NEWLINE>Leave me alone...<05><NEWLINE>I'm busy.<SPEAKER_BREAK>"
29,"text_surface","rotdd",1234,0x00195F37,"Mae: <PLAYER_NAME>......<05><NEWLINE>It's not that I dislike you or<NEWLINE>anything, but...<PAGE_BREAK>Since taking sides with you,<NEWLINE>it's been awkward because of<NEWLINE>my father's post in the castle.<PAGE_BREAK>For some reason, Minister Ward<NEWLINE>really hates you.<SPEAKER_BREAK>"
30,"text_surface","rotdd",1235,0x00196001,"Mae: Don't come to the castle<NEWLINE>unless you have business here.<NEWLINE>You'll trouble my father.<SPEAKER_BREAK>"
31,"text_surface","rotdd",2156,0x001ACA78,"Mae: I'll take care of the<NEWLINE>enemy! <02>If you leave me out<NEWLINE>of the group, you'll regret it!<SPEAKER_BREAK>"
