local_index,pointer_table_offset,pointer_value,name_rom_offset,name_length,decoded_name
0,0x0056F578,0x081E0688,0x001E0688,3,"Max"
1,0x0056F57C,0x081E068C,0x001E068C,3,"Mae"
2,0x0056F580,0x081E0690,0x001E0690,5,"Pelle"
3,0x0056F584,0x081E0698,0x001E0698,3,"Ken"
4,0x0056F588,0x081E069C,0x001E069C,6,"Vankar"
5,0x0056F58C,0x081E06A4,0x001E06A4,7,"Earnest"
6,0x0056F590,0x081E06AC,0x001E06AC,6,"Arthur"
7,0x0056F594,0x081E06B4,0x001E06B4,4,"Gort"
8,0x0056F598,0x081E06BC,0x001E06BC,4,"Luke"
9,0x0056F59C,0x081E06C4,0x001E06C4,5,"Guntz"
10,0x0056F5A0,0x081E06CC,0x001E06CC,4,"Anri"
11,0x0056F5A4,0x081E06D4,0x001E06D4,4,"Alef"
12,0x0056F5A8,0x081E06DC,0x001E06DC,3,"Tao"
13,0x0056F5AC,0x081E06E0,0x001E06E0,7,"Domingo"
14,0x0056F5B0,0x081E06E8,0x001E06E8,4,"Lowe"
15,0x0056F5B4,0x081E06F0,0x001E06F0,5,"Khris"
16,0x0056F5B8,0x081E06F8,0x001E06F8,6,"Torasu"
17,0x0056F5BC,0x081E0700,0x001E0700,4,"Gong"
18,0x0056F5C0,0x081E0708,0x001E0708,5,"Diane"
19,0x0056F5C4,0x081E0710,0x001E0710,4,"Hans"
20,0x0056F5C8,0x081E0718,0x001E0718,4,"Lyle"
21,0x0056F5CC,0x081E0720,0x001E0720,4,"Amon"
22,0x0056F5D0,0x081E0728,0x001E0728,8,"Balbaroy"
23,0x0056F5D4,0x081E0734,0x001E0734,7,"Kokichi"
24,0x0056F5D8,0x081E073C,0x001E073C,4,"Bleu"
25,0x0056F5DC,0x081E0744,0x001E0744,4,"Adam"
26,0x0056F5E0,0x081E074C,0x001E074C,4,"Zylo"
27,0x0056F5E4,0x081E0754,0x001E0754,7,"Musashi"
28,0x0056F5E8,0x081E075C,0x001E075C,6,"Hanzou"
29,0x0056F5EC,0x081E0764,0x001E0764,6,"Jogurt"
30,0x0056F5F0,0x081E076C,0x001E076C,6,"Narsha"
31,0x0056F5F4,0x081E0774,0x001E0774,5,"Zuika"
32,0x0056F5F8,0x081E077C,0x001E077C,7,"Mawlock"
