local_index,pointer_table_offset,pointer_value,name_rom_offset,name_length,decoded_name
0,0x0056F000,0x081DDDBF,0x001DDDBF,9,Swordsman
1,0x0056F004,0x081DDDC9,0x001DDDC9,6,Knight
2,0x0056F008,0x081DDDD0,0x001DDDD0,7,Warrior
3,0x0056F00C,0x081DDDD8,0x001DDDD8,8,Steam KT
4,0x0056F010,0x081DDDE1,0x001DDDE1,4,Mage
5,0x0056F014,0x081DDDE6,0x001DDDE6,4,Monk
6,0x0056F018,0x081DDDEB,0x001DDDEB,6,Healer
7,0x0056F01C,0x081DDDF2,0x001DDDF2,6,Archer
8,0x0056F020,0x081DDDF9,0x001DDDF9,10,Assault KT
9,0x0056F024,0x081DDE04,0x001DDE04,7,Birdman
10,0x0056F028,0x081DDE0C,0x001DDE0C,9,Winged KT
11,0x0056F02C,0x081DDE16,0x001DDE16,6,Dragon
12,0x0056F030,0x081DDE1D,0x001DDE1D,5,Robot
13,0x0056F034,0x081DDE23,0x001DDE23,8,Werewolf
14,0x0056F038,0x081DDE2C,0x001DDE2C,7,Samurai
15,0x0056F03C,0x081DDE34,0x001DDE34,5,Ninja
16,0x0056F040,0x081DDE3A,0x001DDE3A,6,Shaman
17,0x0056F044,0x081DDE41,0x001DDE41,8,Assassin
18,0x0056F048,0x081DDE4A,0x001DDE4A,4,Hero
19,0x0056F04C,0x081DDE4F,0x001DDE4F,7,Paladin
20,0x0056F050,0x081DDE57,0x001DDE57,9,Gladiator
21,0x0056F054,0x081DDE61,0x001DDE61,11,Steam Baron
22,0x0056F058,0x081DDE6D,0x001DDE6D,6,Wizard
23,0x0056F05C,0x081DDE74,0x001DDE74,11,Master Monk
24,0x0056F060,0x081DDE80,0x001DDE80,5,Vicar
25,0x0056F064,0x081DDE86,0x001DDE86,9,Bowmaster
26,0x0056F068,0x081DDE90,0x001DDE90,9,Strike KT
27,0x0056F06C,0x081DDE9A,0x001DDE9A,11,Sky Warrior
28,0x0056F070,0x081DDEA6,0x001DDEA6,8,Sky Lord
29,0x0056F074,0x081DDEAF,0x001DDEAF,10,Great DRGN
30,0x0056F078,0x081DDEBA,0x001DDEBA,6,Cyborg
31,0x0056F07C,0x081DDEC1,0x001DDEC1,10,Wolf Baron
32,0x0056F080,0x081DDECC,0x001DDECC,11,Swordmaster
33,0x0056F084,0x081DDED8,0x001DDED8,11,Super Ninja
34,0x0056F088,0x081DDEE4,0x001DDEE4,4,Guru
35,0x0056F08C,0x081DDEE9,0x001DDEE9,10,Terminator
36,0x0056F090,0x081DDEF4,0x001DDEF4,6,Yogurt
37,0x0056F094,0x081DDEFB,0x001DDEFB,9,Magic Egg
38,0x0056F098,0x081DDF05,0x001DDF05,11,Card Master
