local_index,pointer_table_offset,pointer_value,name_rom_offset,name_length,decoded_name
0,0x0056F09C,0x081DDF11,0x001DDF11,6,Goblin
1,0x0056F0A0,0x081DDF18,0x001DDF18,8,Bowrider
2,0x0056F0A4,0x081DDF21,0x001DDF21,11,Rune Knight
3,0x0056F0A8,0x081DDF2D,0x001DDF2D,9,Silver KT
4,0x0056F0AC,0x081DDF37,0x001DDF37,8,Dullahan
5,0x0056F0B0,0x081DDF40,0x001DDF40,10,Dark Dwarf
6,0x0056F0B4,0x081DDF4B,0x001DDF4B,7,Centaur
7,0x0056F0B8,0x081DDF53,0x001DDF53,6,Sniper
8,0x0056F0BC,0x081DDF5A,0x001DDF5A,8,Dark Elf
9,0x0056F0C0,0x081DDF63,0x001DDF63,9,Lizardman
10,0x0056F0C4,0x081DDF6D,0x001DDF6D,9,Dark Mage
11,0x0056F0C8,0x081DDF77,0x001DDF77,11,Dark Priest
12,0x0056F0CC,0x081DDF83,0x001DDF83,11,High Priest
13,0x0056F0D0,0x081DDF8F,0x001DDF8F,8,Cerberus
14,0x0056F0D4,0x081DDF98,0x001DDF98,9,Hellhound
15,0x0056F0D8,0x081DDFA2,0x001DDFA2,8,Gargoyle
16,0x0056F0DC,0x081DDFAB,0x001DDFAB,6,Belial
17,0x0056F0E0,0x081DDFB2,0x001DDFB2,5,Golem
18,0x0056F0E4,0x081DDFB8,0x001DDFB8,11,Green Golem
19,0x0056F0E8,0x081DDFC4,0x001DDFC4,11,Dark Priest
20,0x0056F0EC,0x081DDFD0,0x001DDFD0,6,Zombie
21,0x0056F0F0,0x081DDFD7,0x001DDFD7,9,Dark Mage
22,0x0056F0F4,0x081DDFE1,0x001DDFE1,11,Master Mage
23,0x0056F0F8,0x081DDFED,0x001DDFED,11,Demonmaster
24,0x0056F0FC,0x081DDFF9,0x001DDFF9,9,Giant Bat
25,0x0056F100,0x081DE003,0x001DE003,6,Seabat
26,0x0056F104,0x081DE00A,0x001DE00A,4,Worm
27,0x0056F108,0x081DE00F,0x001DE00F,8,Ice Worm
28,0x0056F10C,0x081DE018,0x001DE018,8,Minotaur
29,0x0056F110,0x081DE021,0x001DE021,9,Artillery
30,0x0056F114,0x081DE02B,0x001DE02B,9,Mannequin
31,0x0056F118,0x081DE035,0x001DE035,11,Evil Puppet
32,0x0056F11C,0x081DE041,0x001DE041,10,Dire Clown
33,0x0056F120,0x081DE04C,0x001DE04C,8,Dullahan
34,0x0056F124,0x081DE055,0x001DE055,8,Skeleton
35,0x0056F128,0x081DE05E,0x001DE05E,11,High Priest
36,0x0056F12C,0x081DE06A,0x001DE06A,10,Marionette
37,0x0056F130,0x081DE075,0x001DE075,11,Demonmaster
38,0x0056F134,0x081DE081,0x001DE081,10,Skullforce
39,0x0056F138,0x081DE08C,0x001DE08C,10,Pegasus KT
40,0x0056F13C,0x081DE097,0x001DE097,7,Chimera
41,0x0056F140,0x081DE09F,0x001DE09F,6,Wyvern
42,0x0056F144,0x081DE0A6,0x001DE0A6,11,Blue Dragon
43,0x0056F148,0x081DE0B2,0x001DE0B2,5,Conch
44,0x0056F14C,0x081DE0B8,0x001DE0B8,9,Shellfish
45,0x0056F150,0x081DE0C2,0x001DE0C2,10,Steel Claw
46,0x0056F154,0x081DE0CD,0x001DE0CD,9,Torch Eye
47,0x0056F158,0x081DE0D7,0x001DE0D7,3,Jet
48,0x0056F15C,0x081DE0DB,0x001DE0DB,7,Darksol
49,0x0056F160,0x081DE0E3,0x001DE0E3,9,Laser Eye
50,0x0056F164,0x081DE0ED,0x001DE0ED,6,Elliot
51,0x0056F168,0x081DE0F4,0x001DE0F4,8,Balbazak
52,0x0056F16C,0x081DE0FD,0x001DE0FD,8,Mishaela
53,0x0056F170,0x081DE106,0x001DE106,5,Chaos
54,0x0056F174,0x081DE10C,0x001DE10C,7,Ramladu
55,0x0056F178,0x081DE114,0x001DE114,4,Kane
56,0x0056F17C,0x081DE119,0x001DE119,8,Colossus
57,0x0056F180,0x081DE122,0x001DE122,11,Dark Dragon
58,0x0056F184,0x081DE12E,0x001DE12E,9,Dark Mage
59,0x0056F188,0x081DE138,0x001DE138,6,Zombie
60,0x0056F18C,0x081DE13F,0x001DE13F,8,Skeleton
61,0x0056F190,0x081DE148,0x001DE148,5,Ghoul
62,0x0056F194,0x081DE14E,0x001DE14E,10,Pegasus KT
63,0x0056F198,0x081DE159,0x001DE159,11,Master Mage
64,0x0056F19C,0x081DE165,0x001DE165,8,Dullahan
65,0x0056F1A0,0x081DE16E,0x001DE16E,8,Minotaur
66,0x0056F1A4,0x081DE177,0x001DE177,7,Chimera
67,0x0056F1A8,0x081DE17F,0x001DE17F,8,Skeleton
68,0x0056F1AC,0x081DE188,0x001DE188,11,Dark Dragon
69,0x0056F1B0,0x081DE194,0x001DE194,11,G. Scorpion
70,0x0056F1B4,0x081DE1A0,0x001DE1A0,9,G. Spider
71,0x0056F1B8,0x081DE1AA,0x001DE1AA,9,Giant Rat
72,0x0056F1BC,0x081DE1B4,0x001DE1B4,6,Outlaw
73,0x0056F1C0,0x081DE1BB,0x001DE1BB,6,Kraken
74,0x0056F1C4,0x081DE1C2,0x001DE1C2,10,Gobgovitch
75,0x0056F1C8,0x081DE1CD,0x001DE1CD,11,Will-o-Wisp
76,0x0056F1CC,0x081DE1D9,0x001DE1D9,5,Ghost
77,0x0056F1D0,0x081DE1DF,0x001DE1DF,6,Wizary
78,0x0056F1D4,0x081DE1E6,0x001DE1E6,10,Soul Eater
