local_index,pointer_table_offset,pointer_value,name_rom_offset,name_length,decoded_name
0,0x0056EE5C,0x081DD946,0x001DD946,12,Medical Herb
1,0x0056EE60,0x081DD953,0x001DD953,12,Healing Seed
2,0x0056EE64,0x081DD960,0x001DD960,8,Antidote
3,0x0056EE68,0x081DD969,0x001DD969,10,Angel Wing
4,0x0056EE6C,0x081DD974,0x001DD974,11,Shower Cure
5,0x0056EE70,0x081DD980,0x001DD980,10,Power Ring
6,0x0056EE74,0x081DD98B,0x001DD98B,11,Shield Ring
7,0x0056EE78,0x081DD997,0x001DD997,10,Speed Ring
8,0x0056EE7C,0x081DD9A2,0x001DD9A2,12,Agility Ring
9,0x0056EE80,0x081DD9AF,0x001DD9AF,10,White Ring
10,0x0056EE84,0x081DD9BA,0x001DD9BA,10,Black Ring
11,0x0056EE88,0x081DD9C5,0x001DD9C5,9,Evil Ring
12,0x0056EE8C,0x081DD9CF,0x001DD9CF,11,Yogurt Ring
13,0x0056EE90,0x081DD9DB,0x001DD9DB,10,Power Wine
14,0x0056EE94,0x081DD9E6,0x001DD9E6,10,DEF Potion
15,0x0056EE98,0x081DD9F1,0x001DD9F1,12,Quik Chicken
16,0x0056EE9C,0x081DD9FE,0x001DD9FE,12,Turbo Pepper
17,0x0056EEA0,0x081DDA0B,0x001DDA0B,9,Life Loaf
18,0x0056EEA4,0x081DDA15,0x001DDA15,12,Orb of Light
19,0x0056EEA8,0x081DDA22,0x001DDA22,9,Moonstone
20,0x0056EEAC,0x081DDA2C,0x001DDA2C,9,Lunar Dew
21,0x0056EEB0,0x081DDA36,0x001DDA36,11,Domingo Egg
22,0x0056EEB4,0x081DDA42,0x001DDA42,12,Teeny Bikini
23,0x0056EEB8,0x081DDA4F,0x001DDA4F,12,Daring Dress
24,0x0056EEBC,0x081DDA5C,0x001DDA5C,10,Blaze Bomb
25,0x0056EEC0,0x081DDA67,0x001DDA67,11,Short Sword
26,0x0056EEC4,0x081DDA73,0x001DDA73,12,Middle Sword
27,0x0056EEC8,0x081DDA80,0x001DDA80,10,Long Sword
28,0x0056EECC,0x081DDA8B,0x001DDA8B,11,Steel Sword
29,0x0056EED0,0x081DDA97,0x001DDA97,11,Broad Sword
30,0x0056EED4,0x081DDAA3,0x001DDAA3,10,Doom Blade
31,0x0056EED8,0x081DDAAE,0x001DDAAE,6,Katana
32,0x0056EEDC,0x081DDAB5,0x001DDAB5,11,Light Saber
33,0x0056EEE0,0x081DDAC1,0x001DDAC1,10,Dark Saber
34,0x0056EEE4,0x081DDACC,0x001DDACC,12,Chaosbreaker
35,0x0056EEE8,0x081DDAD9,0x001DDAD9,12,Wooden Arrow
36,0x0056EEEC,0x081DDAE6,0x001DDAE6,11,Steel Arrow
37,0x0056EEF0,0x081DDAF2,0x001DDAF2,11,Elven Arrow
38,0x0056EEF4,0x081DDAFE,0x001DDAFE,11,Armor Arrow
39,0x0056EEF8,0x081DDB0A,0x001DDB0A,11,Buster Shot
40,0x0056EEFC,0x081DDB16,0x001DDB16,12,Bronze Lance
41,0x0056EF00,0x081DDB23,0x001DDB23,11,Steel Lance
42,0x0056EF04,0x081DDB2F,0x001DDB2F,12,Chrome Lance
43,0x0056EF08,0x081DDB3C,0x001DDB3C,7,Halberd
44,0x0056EF0C,0x081DDB44,0x001DDB44,11,Devil Lance
45,0x0056EF10,0x081DDB50,0x001DDB50,5,Spear
46,0x0056EF14,0x081DDB56,0x001DDB56,11,Power Spear
47,0x0056EF18,0x081DDB62,0x001DDB62,8,Valkyrie
48,0x0056EF1C,0x081DDB6B,0x001DDB6B,8,Hand Axe
49,0x0056EF20,0x081DDB74,0x001DDB74,10,Middle Axe
50,0x0056EF24,0x081DDB7F,0x001DDB7F,10,Battle Axe
51,0x0056EF28,0x081DDB8A,0x001DDB8A,8,Heat Axe
52,0x0056EF2C,0x081DDB93,0x001DDB93,9,Great Axe
53,0x0056EF30,0x081DDB9D,0x001DDB9D,5,Atlas
54,0x0056EF34,0x081DDBA3,0x001DDBA3,12,Wooden Staff
55,0x0056EF38,0x081DDBB0,0x001DDBB0,11,Power Staff
56,0x0056EF3C,0x081DDBBC,0x001DDBBC,11,Guard Staff
57,0x0056EF40,0x081DDBC8,0x001DDBC8,10,Holy Staff
58,0x0056EF44,0x081DDBD3,0x001DDBD3,9,Demon Rod
59,0x0056EF48,0x081DDBDD,0x001DDBDD,10,Demibuster
60,0x0056EF4C,0x081DDBE8,0x001DDBE8,12,Mermanbuster
61,0x0056EF50,0x081DDBF5,0x001DDBF5,10,Soulbuster
62,0x0056EF54,0x081DDC00,0x001DDC00,7,Duelist
63,0x0056EF58,0x081DDC08,0x001DDC08,9,Destroyer
64,0x0056EF5C,0x081DDC12,0x001DDC12,6,Sniper
65,0x0056EF60,0x081DDC19,0x001DDC19,11,Power Lance
66,0x0056EF64,0x081DDC25,0x001DDC25,11,Ogre Slayer
67,0x0056EF68,0x081DDC31,0x001DDC31,10,Elf Slayer
68,0x0056EF6C,0x081DDC3C,0x001DDC3C,12,Jagged Flash
69,0x0056EF70,0x081DDC49,0x001DDC49,9,Landslide
70,0x0056EF74,0x081DDC53,0x001DDC53,11,Raging Drum
71,0x0056EF78,0x081DDC5F,0x001DDC5F,12,Voodoo Staff
72,0x0056EF7C,0x081DDC6C,0x001DDC6C,10,Doll Hater
73,0x0056EF80,0x081DDC77,0x001DDC77,12,Zombie Charm
74,0x0056EF84,0x081DDC84,0x001DDC84,9,Paralyzer
75,0x0056EF88,0x081DDC8E,0x001DDC8E,4,Mace
76,0x0056EF8C,0x081DDC93,0x001DDC93,10,Heavy Mace
77,0x0056EF90,0x081DDC9E,0x001DDC9E,9,Holy Mace
78,0x0056EF94,0x081DDCA8,0x001DDCA8,12,Miracle Mace
79,0x0056EF98,0x081DDCB5,0x001DDCB5,12,Dragonslayer
80,0x0056EF9C,0x081DDCC2,0x001DDCC2,10,Steel Ring
81,0x0056EFA0,0x081DDCCD,0x001DDCCD,11,Silver Ring
82,0x0056EFA4,0x081DDCD9,0x001DDCD9,9,Gold Ring
83,0x0056EFA8,0x081DDCE3,0x001DDCE3,10,Evade Ring
84,0x0056EFAC,0x081DDCEE,0x001DDCEE,9,Wind Ring
85,0x0056EFB0,0x081DDCF8,0x001DDCF8,12,Tornado Ring
86,0x0056EFB4,0x081DDD05,0x001DDD05,10,Charm Ring
