first_source_index,first_rom_offset,occurrence_count,npc_name
0,0x001765DC,18,Varios
12,0x00176B0F,57,Soldier
16,0x00176C85,24,Priest
21,0x00176E33,12,King of Guardiana
25,0x00177093,100,Nova
29,0x001772C7,3,Ward
40,0x001777D6,13,Sentry
75,0x00178555,2,Dwarf
110,0x001796C0,10,Merchant
115,0x001799B4,8,King of Alterone
134,0x0017A372,2,Messenger
205,0x0017C302,2,Hothead
208,0x0017C3D0,33,Old Man
217,0x0017C887,11,Fisherman
224,0x0017CA92,24,Woman
241,0x0017D070,13,Mayor
300,0x0017E8B7,1,Mayor's Grandson
352,0x0017FD16,7,Dr. Crock
357,0x0017FEC7,2,Crock
365,0x0018017F,9,Manager
376,0x001804B1,4,Old Gert
383,0x00180718,1,Mage's Wife
434,0x001819AA,13,Alchemist
460,0x00182310,4,Silver Knight
499,0x0018309E,6,Kokichi's helper
512,0x0018368E,8,Queen Koron
518,0x00183AF8,6,General Elliot
555,0x001846EC,1,Dr. Crock's Servant
598,0x00185697,7,Egg Hatcher
637,0x001863E8,4,Shell
661,0x00186CFB,1,Mysterious Voice
670,0x0018726B,2,Spirit
681,0x00187675,2,Salesman
685,0x001878CB,13,Mahato
693,0x00187C72,19,Krin
694,0x00187CD4,4,Village Boy
711,0x00188339,21,Karin
804,0x0018A7A9,47,Man
812,0x0018A9FC,10,Boken
817,0x0018AC58,45,Guard
820,0x0018AD21,21,King Kusko
936,0x0018DCE8,1,Spring of Recollection
975,0x0018F12D,1,A strange voice
1083,0x0019213F,14,Old Woman
1086,0x00192272,4,Khris' Relative
1094,0x00192508,5,Bar Owner
1097,0x00192622,7,Item seller
1117,0x00192D83,23,Maid
1140,0x00193944,42,Girl
1145,0x00193BBB,2,Lovestruck Man
1150,0x00193E4D,4,Customer
1164,0x001942AD,1,Laid-back Man
1165,0x00194329,1,Priest's Deputy
1166,0x00194385,2,Lovesick Man
1168,0x00194488,2,Lonely Old Man
1178,0x00194767,1,Man from Guardiana
1187,0x00194ADB,1,Deputy Priest
1208,0x001952D5,3,Minister
1236,0x00196059,3,Minister Ward
1255,0x001968A0,1,Watchtower Man
1265,0x00196D2C,5,Helper
1269,0x00196F63,5,Mother
1271,0x0019703A,3,Father
1273,0x0019716B,4,Shopkeeper
1275,0x00197327,2,Shop Assistant
1276,0x0019737F,3,Cowardly Man
1285,0x001977C9,6,Innkeeper
1287,0x001978AA,5,Dog
1294,0x00197AC1,1,Cart Owner
1308,0x00198127,9,Granddaughter
1322,0x00198633,1,Traveller
1343,0x00198FD7,1,Weapon Seller
1349,0x00199284,5,Harbor Man
1361,0x001996F1,2,Kid
1375,0x00199C15,31,Boy
1381,0x00199F46,1,Theater-Loving Man
1382,0x00199FCA,5,Mayor's Son
1414,0x0019B02F,1,Housekeeper
1424,0x0019B4DF,11,Otrant
1447,0x0019C0CC,7,Researcher
1456,0x0019C566,5,VIP Mage
1483,0x0019D07D,1,Mud-Covered Man
1484,0x0019D0C6,1,Young Merchant
1487,0x0019D215,2,Bell Ringer
1490,0x0019D3B4,1,Pale Man
1502,0x0019D871,5,Diane's Mother
1506,0x0019DA87,3,Diane's Aunt
1509,0x0019DBE4,4,Diane's Cousin
1513,0x0019DD45,3,Weapons Seller
1515,0x0019DDE3,6,Rindo Merchant
1532,0x0019E3EB,10,Townsman
1542,0x0019E7A8,2,Kokichi's wife
1557,0x0019EF40,14,Pao Guard
1558,0x0019EF7D,4,Townswoman
1571,0x0019F3A5,8,Pao Merchant
1575,0x0019F4A2,1,Man in Bar
1584,0x0019F9FB,5,Young Man
1585,0x0019FA4F,1,Paopig Guard
1587,0x0019FAF0,9,Paopig
1604,0x001A0117,2,Train Driver
1626,0x001A0932,2,Paopig Man
1637,0x001A0CAB,1,Handmaid
1655,0x001A140D,6,Nun
1670,0x001A1A78,13,Waral Islander
1671,0x001A1AB0,3,Shipwright
1673,0x001A1B97,4,Island Girl
1678,0x001A1CC1,2,King
1681,0x001A1E61,1,King's Advisor
1682,0x001A1EFD,1,Hotel Manager
1683,0x001A1F45,3,Hotel Employee
1688,0x001A214C,4,Island Woman
1691,0x001A221B,2,Shela
1692,0x001A22BE,7,Shelra
1698,0x001A24B6,4,Shimol
1706,0x001A274F,2,Old Island Man
1720,0x001A2CEF,7,King of Waral
1773,0x001A42D8,4,Chicken
1804,0x001A4F15,2,Village Girl
1877,0x001A69B5,13,Elder
2035,0x001AA9CB,1,Private Land
2073,0x001AB40D,1,Bustoke
2769,0x001C98CD,14,Simone
3022,0x001D0B98,8,Farmer
