Address,Set Alignment (Bytes),Type,Name,Example Value,Notes
0x02000054,4,Gold,Gold,01000000,Total Gold owned
0x02000098,2,Item,Medical Herb,0062,Total number of item in Item Box
0x0200009C,2,Item,Healing Seed,0062,Total number of item in Item Box
0x020000A0,2,Item,Antidote,0062,Total number of item in Item Box
0x020000A4,2,Item,Angel Wing,0062,Total number of item in Item Box
0x020000A8,2,Item,Shower Cure,0062,Total number of item in Item Box
0x020000AC,2,Item,Orb of Light,0062,Total number of item in Item Box
0x020000B0,2,Item,Moonstone,0062,Total number of item in Item Box
0x020000B4,2,Item,Lunar Dew,0062,Total number of item in Item Box
0x020000B8,2,Item,Domingo Egg,0062,Total number of item in Item Box
0x020000BC,2,Item,Blaze Bomb,0062,Total number of item in Item Box
0x020000C0,2,Item,Teeny Bikini,0062,Total number of item in Item Box
0x020000C4,2,Item,Daring Dress,0062,Total number of item in Item Box
0x020000C8,2,Item,Maid Uniform,0062,Total number of item in Item Box
0x020000CC,2,Item,Kenji,0062,Total number of item in Item Box
0x020000D0,2,Item,Rifle,0062,Total number of item in Item Box
0x020000D4,2,Item,Papa Doll,0062,Total number of item in Item Box
0x020000D8,2,Item,Youji,0062,Total number of item in Item Box
0x020000DC,2,Item,Taboo Box,0062,Total number of item in Item Box
0x020000E0,2,Item,Power Wine,0062,Total number of item in Item Box
0x020000E4,2,Item,DEF Potion,0062,Total number of item in Item Box
0x020000E8,2,Item,Quik Chicken,0062,Total number of item in Item Box
0x020000EC,2,Item,Turbo Pepper,0062,Total number of item in Item Box
0x020000F0,2,Item,Life Loaf,0062,Total number of item in Item Box
0x020000F4,2,Item,Power Ring,0062,Total number of item in Item Box
0x020000F8,2,Item,Shield Ring,0062,Total number of item in Item Box
0x020000FC,2,Item,Speed Ring,0062,Total number of item in Item Box
0x02000100,2,Item,Agility Ring,0062,Total number of item in Item Box
0x02000104,2,Item,White Ring,0062,Total number of item in Item Box
0x02000108,2,Item,Black Ring,0062,Total number of item in Item Box
0x0200010C,2,Item,Evil Ring,0062,Total number of item in Item Box
0x02000110,2,Item,Yogurt Ring,0062,Total number of item in Item Box
0x02000114,2,Item,Steel Ring,0062,Total number of item in Item Box
0x02000118,2,Item,Silver Ring,0062,Total number of item in Item Box
0x0200011C,2,Item,Gold Ring,0062,Total number of item in Item Box
0x02000120,2,Item,Evade Ring,0062,Total number of item in Item Box
0x02000124,2,Item,Wind Ring,0062,Total number of item in Item Box
0x02000128,2,Item,Tornado Ring,0062,Total number of item in Item Box
0x0200012C,2,Item,Charm Ring,0062,Total number of item in Item Box
0x02000130,2,Item,Prayer Ring,0062,Total number of item in Item Box
0x02000134,2,Item,Seal Ring,0062,Total number of item in Item Box
0x02000138,2,Item,Healing Ring,0062,Total number of item in Item Box
0x0200013C,2,Item,Rousing Ring,0062,Total number of item in Item Box
0x02000140,2,Item,Holy Ring,0062,Total number of item in Item Box
0x02000144,2,Item,Sniper Ring,0062,Total number of item in Item Box
0x02000148,2,Item,Repel Ring,0062,Total number of item in Item Box
0x0200014C,2,Item,Counter Ring,0062,Total number of item in Item Box
0x02000150,2,Item,Short Sword,0062,Total number of item in Item Box
0x02000154,2,Item,Middle Sword,0062,Total number of item in Item Box
0x02000158,2,Item,Long Sword,0062,Total number of item in Item Box
0x0200015C,2,Item,Steel Sword,0062,Total number of item in Item Box
0x02000160,2,Item,Broad Sword,0062,Total number of item in Item Box
0x02000164,2,Item,Doom Blade,0062,Total number of item in Item Box
0x02000168,2,Item,Katana,0062,Total number of item in Item Box
0x0200016C,2,Item,Light Saber,0062,Total number of item in Item Box
0x02000170,2,Item,Dark Saber,0062,Total number of item in Item Box
0x02000174,2,Item,Chaosbreaker,0062,Total number of item in Item Box
0x02000178,2,Item,Demibuster,0062,Total number of item in Item Box
0x0200017C,2,Item,Mermanbuster,0062,Total number of item in Item Box
0x02000180,2,Item,Soulbuster,0062,Total number of item in Item Box
0x02000184,2,Item,Wooden Arrow,0062,Total number of item in Item Box
0x02000188,2,Item,Steel Arrow,0062,Total number of item in Item Box
0x0200018C,2,Item,Elven Arrow,0062,Total number of item in Item Box
0x02000190,2,Item,Armor Arrow,0062,Total number of item in Item Box
0x02000194,2,Item,Buster Shot,0062,Total number of item in Item Box
0x02000198,2,Item,Duelist,0062,Total number of item in Item Box
