game,table_slug,category,local_index,pointer_table_offset,pointer_value,text_rom_offset,text_gba_address,text_length,codec,decoded_text,notes
sf-rotdd,system_terms,system,0,0x0056ED80,0x081DD7E3,0x001DD7E3,0x081DD7E3,10,rotdd,Soul Eater,Small pre-spell table containing system or special-purpose labels.
sf-rotdd,system_terms,system,1,0x0056ED84,0x081DD7EE,0x001DD7EE,0x081DD7EE,6,rotdd,Varios,Small pre-spell table containing system or special-purpose labels.
sf-rotdd,system_terms,system,2,0x0056ED88,0x081DD7F5,0x001DD7F5,0x081DD7F5,7,rotdd,Imitate,Small pre-spell table containing system or special-purpose labels.
sf-rotdd,system_terms,system,3,0x0056ED8C,0x081DD7FD,0x001DD7FD,0x081DD7FD,4,rotdd,None,Small pre-spell table containing system or special-purpose labels.
sf-rotdd,spell_names,spell,0,0x0056ED90,0x081DD802,0x001DD802,0x081DD802,4,rotdd,Heal,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,1,0x0056ED94,0x081DD807,0x001DD807,0x081DD807,4,rotdd,Heal,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,2,0x0056ED98,0x081DD80C,0x001DD80C,0x081DD80C,4,rotdd,Heal,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,3,0x0056ED9C,0x081DD811,0x001DD811,0x081DD811,4,rotdd,Heal,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,4,0x0056EDA0,0x081DD816,0x001DD816,0x081DD816,4,rotdd,Aura,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,5,0x0056EDA4,0x081DD81B,0x001DD81B,0x081DD81B,4,rotdd,Aura,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,6,0x0056EDA8,0x081DD820,0x001DD820,0x081DD820,4,rotdd,Aura,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,7,0x0056EDAC,0x081DD825,0x001DD825,0x081DD825,4,rotdd,Aura,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,8,0x0056EDB0,0x081DD82A,0x001DD82A,0x081DD82A,5,rotdd,Detox,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,9,0x0056EDB4,0x081DD830,0x001DD830,0x081DD830,6,rotdd,Shield,Confirmed spell and spell-adjacent menu labels.
sf-rotdd,spell_names,spell,10,0x0056EDB8,0x081DD837,0x001DD837,0x081DD837,6,rotdd,Dispel,Confirmed spell and spell-adjacent menu labels.
